___;Parse; TGG_FWD; Precedence; SDM Validation; TGG_BWD; Unparse;
1000;125;998;0;0;250;280;
1000;125;998;0;0;250;296;
1000;125;998;0;0;249;296;
1000;109;983;0;0;234;328;
1000;125;1029;0;0;265;312;
1000;125;982;0;0;234;358;
1000;125;967;0;0;234;296;
1000;125;983;0;0;234;296;
1000;125;967;0;0;234;296;
1000;125;998;0;0;265;297;
2000;156;1576;0;0;374;436;
2000;156;1591;0;0;375;452;
2000;140;1560;0;0;374;437;
2000;140;1529;0;0;374;452;
2000;156;1560;0;0;374;437;
2000;156;1576;0;0;375;436;
2000;141;1560;0;0;359;453;
2000;156;1545;0;0;375;437;
2000;140;1529;0;0;374;437;
2000;156;1576;0;0;359;437;
3000;172;2044;0;0;468;608;
3000;187;2059;0;0;484;624;
3000;172;2059;0;15;500;608;
3000;172;2059;0;0;484;671;
3000;188;2090;0;16;499;592;
3000;187;2059;0;0;499;593;
3000;187;2075;0;0;499;609;
3000;188;2059;0;0;500;592;
3000;187;2059;0;0;499;640;
3000;171;2090;0;0;515;624;
4000;219;2605;0;0;577;764;
4000;218;2668;0;0;608;780;
4000;234;2683;0;0;608;765;
4000;218;2668;0;0;609;795;
4000;218;2652;0;0;608;811;
4000;218;2636;0;16;608;765;
4000;218;2652;0;0;593;842;
4000;218;2621;0;0;593;733;
4000;218;2605;0;15;593;749;
4000;218;2637;0;0;592;780;
5000;250;3120;0;0;702;936;
5000;250;3135;0;0;733;1077;
5000;250;3151;0;0;718;967;
5000;266;3135;0;0;717;1092;
5000;266;3120;0;0;702;936;
5000;265;3136;0;0;733;952;
5000;250;3152;0;0;734;998;
5000;265;3183;0;0;733;936;
5000;266;3104;0;0;717;952;
5000;265;3182;0;16;733;952;
6000;281;3915;0;0;1045;1077;
6000;281;3885;0;0;1014;1092;
6000;281;3837;0;0;983;1077;
6000;297;4041;0;0;982;1045;
6000;281;3822;0;0;967;1092;
6000;280;3884;0;16;998;1202;
6000;281;3837;0;0;967;1092;
6000;281;3822;0;0;967;1248;
6000;281;3885;0;0;967;1123;
6000;281;3822;0;0;967;1279;
7000;312;4602;0;15;905;1279;
7000;327;4696;0;0;921;1217;
7000;327;4602;0;16;920;1217;
7000;312;4618;0;0;920;1185;
7000;328;4586;0;0;920;1248;
7000;327;4633;0;0;952;1217;
7000;327;4618;0;16;920;1295;
7000;312;4618;0;0;921;1186;
7000;312;4602;0;0;905;1185;
7000;327;4727;0;0;936;1232;
8000;359;5444;0;0;1123;1342;
8000;343;5398;0;0;1061;1497;
8000;344;5476;0;15;1093;1466;
8000;343;5413;0;16;1076;1357;
8000;343;5398;0;0;1061;1388;
8000;359;5382;0;15;1077;1404;
8000;359;5335;0;0;1060;1342;
8000;344;5351;0;0;1061;1419;
8000;359;5428;0;0;1061;1451;
8000;343;5366;0;0;1045;1357;
9000;375;6053;0;16;1232;1763;
9000;390;6068;0;0;1248;1747;
9000;390;6022;0;16;1232;1544;
9000;374;6053;0;16;1232;1700;
9000;406;6131;0;0;1233;1716;
9000;390;6084;0;16;1217;1825;
9000;375;6116;0;0;1217;1732;
9000;390;6131;0;0;1216;1700;
9000;374;6131;0;0;1217;1466;
9000;390;6193;0;0;1216;1716;
10000;406;6817;0;0;1560;1622;
10000;406;6817;0;0;1529;1654;
10000;421;6942;0;15;1576;1654;
10000;406;6879;0;16;1560;1638;
10000;405;6848;0;16;1560;1700;
10000;406;6864;0;0;1529;1622;
10000;406;6896;0;15;1591;1638;
10000;421;6926;0;16;1575;1685;
10000;390;6817;0;15;1545;1638;
10000;405;6989;0;0;1591;1622;
20000;717;19267;0;15;2839;3370;
20000;702;19360;0;16;2902;3151;
20000;717;19875;0;31;2871;3135;
20000;702;19328;0;31;2887;3245;
20000;702;20077;0;16;2871;3214;
20000;717;19235;0;16;2871;3151;
20000;686;19204;0;31;2917;3245;
20000;671;19017;0;15;2823;3151;
20000;686;19750;0;31;2871;3261;
20000;686;19298;0;31;2901;3198;
30000;1170;36878;0;32;4665;5179;
30000;1155;35537;0;32;4805;5101;
30000;1279;35522;0;32;4774;5242;
30000;1139;35475;0;31;4680;5086;
30000;1170;35132;0;47;4680;5414;
30000;1154;35693;0;47;4711;5335;
30000;1170;35693;0;31;4836;5445;
30000;1139;35054;0;46;4696;5117;
30000;1155;36817;0;47;4711;5242;
30000;1154;35225;0;31;4742;5070;
40000;1326;71558;0;47;6739;6911;
40000;1326;72743;0;31;6755;6817;
40000;1295;72385;0;47;6723;7192;
40000;1294;71979;0;47;6895;6739;
40000;1310;72603;0;47;6739;7083;
40000;1310;71231;0;47;6677;6755;
40000;1295;71698;0;47;6786;6802;
40000;1295;71808;0;46;6771;7004;
40000;1326;73134;0;46;6787;6911;
40000;1326;72353;0;47;7005;6771;
50000;1638;113990;0;63;9345;8658;
50000;1638;119201;0;78;9049;8611;
50000;1638;121027;0;78;9188;8658;
50000;1622;116612;0;78;10031;8502;
