___;Parse; TGG_FWD; Precedence; SDM Validation; TGG_BWD; Unparse;
1000;121;939;0;1;243;298;
1000;120;855;0;0;246;317;
1000;122;856;0;1;250;296;
1000;120;867;0;0;247;335;
1000;120;918;0;1;244;313;
1000;119;869;0;1;251;304;
1000;122;855;0;1;251;297;
1000;120;866;0;0;244;307;
1000;121;874;0;1;267;321;
1000;121;874;0;0;248;322;
2000;151;1287;0;1;361;453;
2000;151;1301;0;1;356;524;
2000;152;1300;0;1;367;427;
2000;148;1288;0;1;364;444;
2000;150;1305;0;1;354;479;
2000;152;1283;0;1;361;431;
2000;141;1326;0;0;375;468;
2000;156;1295;0;0;343;421;
2000;156;1264;0;15;359;484;
2000;141;1280;0;0;343;437;
3000;187;1700;0;0;468;593;
3000;187;1732;0;0;483;608;
3000;171;1716;0;0;499;608;
3000;187;1701;0;15;484;608;
3000;187;1700;0;0;484;609;
3000;172;1685;0;0;483;593;
3000;187;1716;0;0;499;717;
3000;187;1685;0;0;483;640;
3000;187;1716;0;16;483;624;
3000;187;1716;0;0;483;624;
4000;234;2215;0;0;577;827;
4000;203;2184;0;0;561;733;
4000;218;2216;0;15;562;780;
4000;218;2199;0;0;561;764;
4000;219;2215;0;16;577;780;
4000;218;2231;0;0;561;764;
4000;218;2215;0;0;562;951;
4000;218;2215;0;16;577;780;
4000;218;2215;0;0;578;748;
4000;218;2184;0;0;561;780;
5000;250;2683;0;0;702;983;
5000;250;2715;0;0;702;1076;
5000;265;2683;0;0;717;983;
5000;249;2667;0;0;702;952;
5000;266;2636;0;16;702;998;
5000;250;2667;0;0;718;936;
5000;266;2683;0;0;702;1030;
5000;250;2667;0;16;702;936;
5000;250;2683;0;0;702;936;
5000;265;2683;0;0;702;921;
6000;281;3354;0;0;998;1295;
6000;281;3339;0;0;983;1248;
6000;297;3354;0;0;999;1186;
6000;281;3354;0;0;1029;1076;
6000;281;3323;0;0;998;1061;
6000;281;3323;0;0;1014;1123;
6000;281;3338;0;0;1029;1061;
6000;297;3307;0;16;998;1123;
6000;281;3323;0;0;1029;1092;
6000;281;3338;0;0;1014;1060;
7000;312;4088;0;0;936;1326;
7000;312;4009;0;16;920;1201;
7000;312;4025;0;16;904;1311;
7000;312;4056;0;0;889;1186;
7000;312;4087;0;0;936;1232;
7000;312;4103;0;0;905;1279;
7000;312;4087;0;0;905;1263;
7000;328;4040;0;16;905;1232;
7000;312;4072;0;0;920;1185;
7000;312;4025;0;15;921;1326;
8000;343;4805;0;0;1046;1357;
8000;359;4820;0;0;1045;1389;
8000;359;4805;0;0;1061;1357;
8000;343;4774;0;0;1061;1466;
8000;359;4743;0;0;1030;1341;
8000;344;4821;0;0;1045;1373;
8000;343;4727;0;0;1046;1326;
8000;344;4695;0;0;1045;1420;
8000;359;4712;0;15;1061;1326;
8000;358;4852;0;0;1029;1326;
9000;374;5538;0;0;1217;1482;
9000;358;5444;0;0;1186;1513;
9000;375;5553;0;16;1201;1544;
9000;390;5523;0;0;1216;1576;
9000;390;5413;0;16;1232;1514;
9000;390;5491;0;16;1201;1482;
9000;406;5585;0;0;1233;1528;
9000;374;5522;0;16;1217;1592;
9000;374;5538;0;0;1217;1482;
9000;390;5445;0;0;1201;1498;
10000;406;6177;0;0;1326;1934;
10000;421;6193;0;16;1638;1732;
10000;406;6037;0;0;1560;1654;
10000;405;6115;0;0;1310;1997;
10000;406;6131;0;0;1341;1966;
10000;406;6100;0;15;1607;1638;
10000;421;6084;0;16;1310;1919;
10000;421;6037;0;0;1575;1700;
10000;406;6131;0;0;1591;1654;
10000;421;6115;0;16;1560;1606;
20000;655;17956;0;31;2871;3182;
20000;702;17691;0;15;2808;3385;
20000;718;18455;0;31;2823;3151;
20000;687;18127;0;16;2824;3182;
20000;670;17691;0;15;2870;3214;
20000;671;17878;0;15;2839;3198;
20000;702;18034;0;16;2855;3135;
20000;687;17862;0;16;2792;3166;
20000;702;17753;0;16;2839;3167;
20000;702;18533;0;16;2933;3151;
30000;1123;34898;0;47;4461;5414;
30000;1124;35444;0;31;4477;5413;
30000;1154;35912;0;31;4540;5257;
30000;1155;35054;0;47;4509;5179;
30000;1123;34991;0;47;4540;5163;
30000;1123;35756;0;47;4508;5179;
30000;1155;34726;0;47;4509;5148;
30000;1138;35100;0;47;4540;5289;
30000;1155;35022;0;47;4681;5211;
30000;1155;35179;0;31;4539;5195;
40000;1341;68438;0;47;6505;6973;
40000;1295;66940;0;47;6302;6879;
40000;1311;68095;0;46;6365;6865;
40000;1294;67019;0;47;6428;6770;
40000;1326;67892;0;47;6381;6942;
40000;1295;67595;0;32;6334;6942;
40000;1310;67471;0;47;6318;6709;
40000;1311;68329;0;47;6349;6911;
40000;1295;68064;0;46;6568;6599;
40000;1295;68220;0;47;6365;6895;
50000;1606;110917;0;78;8565;9235;
50000;1639;110714;0;62;8611;8627;
50000;1638;113008;0;78;8581;8487;
50000;1607;114677;0;78;8767;8409;
50000;1669;111604;0;78;8659;8424;
100000;3542;631699;0;281;23197;18096;
100000;3557;615647;0;265;22652;17535;
100000;3635;631106;0;281;23510;17581;
100000;3573;633337;0;265;23791;17660;
100000;3713;628984;0;281;23759;17394;
150000;5710;1656663;0;592;41918;79811;
150000;5928;1596914;0;593;41730;79733;
150000;5897;1634277;0;609;41450;81511;
