___;Parse; TGG_FWD; Precedence; SDM Validation; TGG_BWD; Unparse;
1000;123;1118;0;1;243;324;
1000;121;1112;0;1;245;294;
1000;120;1147;0;1;243;293;
1000;129;1136;0;1;246;282;
1000;121;1119;0;0;246;268;
1000;121;1118;0;0;241;278;
1000;123;1112;0;1;244;280;
1000;125;1130;0;1;238;277;
1000;122;1128;0;1;243;281;
1000;121;1130;0;1;244;280;
2000;150;1868;0;1;387;432;
2000;149;1837;0;1;371;522;
2000;151;1853;0;2;365;441;
2000;151;1849;0;1;370;443;
2000;151;1864;0;1;373;577;
2000;149;1848;0;1;373;454;
2000;153;1820;0;1;365;434;
2000;153;1929;0;1;373;454;
2000;141;1841;0;0;359;437;
2000;140;1810;0;0;374;452;
3000;187;2667;0;16;515;640;
3000;187;2621;0;0;499;671;
3000;187;2636;0;0;500;624;
3000;171;2636;0;16;499;593;
3000;171;2761;0;0;499;656;
3000;187;2668;0;0;499;592;
3000;188;2652;0;0;499;671;
3000;187;2606;0;0;499;593;
3000;188;2730;0;0;499;609;
3000;172;2652;0;0;577;624;
4000;234;3525;0;16;577;889;
4000;234;3526;0;0;561;702;
4000;219;3510;0;16;561;811;
4000;234;3603;0;16;577;796;
4000;234;3775;0;0;577;733;
4000;219;3556;0;0;578;702;
4000;234;3681;0;0;562;827;
4000;219;3542;0;0;562;718;
4000;218;3666;0;0;577;764;
4000;218;3635;0;0;578;920;
5000;249;4462;0;0;843;904;
5000;250;4368;0;0;842;952;
5000;265;4602;0;0;889;1092;
5000;249;4743;0;0;858;983;
5000;249;4555;0;0;874;968;
5000;249;4352;0;0;827;874;
5000;249;4384;0;0;858;998;
5000;265;4431;0;0;717;1108;
5000;250;4618;0;0;842;889;
5000;265;4602;0;16;858;967;
6000;296;5538;0;0;858;1123;
6000;280;5726;0;0;874;1186;
6000;296;5507;0;16;858;1092;
6000;297;5585;0;0;858;1061;
6000;296;5866;0;0;920;1107;
6000;296;5569;0;0;874;1076;
6000;281;5569;0;0;842;1123;
6000;296;5538;0;0;858;1045;
6000;281;5601;0;15;843;1046;
6000;297;5632;0;0;843;1092;
7000;313;6802;0;0;1030;1232;
7000;327;7098;0;0;1014;1295;
7000;312;6802;0;0;999;1201;
7000;328;6849;0;0;998;1201;
7000;327;7160;0;0;998;1295;
7000;328;6849;0;0;1014;1232;
7000;328;6864;0;0;998;1248;
7000;327;6911;0;0;999;1186;
7000;312;7082;0;0;1014;1217;
7000;328;6817;0;16;1014;1202;
8000;359;8159;0;16;1201;1357;
8000;359;8128;0;0;1170;1389;
8000;343;8783;0;0;1201;1357;
8000;358;8487;0;0;1170;1373;
8000;343;8658;0;0;1170;1436;
8000;344;8222;0;0;1186;1373;
8000;374;8502;0;0;1201;1436;
8000;359;8362;0;0;1202;1388;
8000;359;8486;0;0;1186;1467;
8000;343;8627;0;15;1217;1357;
9000;374;9906;0;16;1404;1545;
9000;390;9750;0;0;1373;1482;
9000;374;9953;0;15;1389;1529;
9000;374;9937;0;16;1388;1497;
9000;374;9812;0;16;1388;1482;
9000;374;9843;0;16;1482;1482;
9000;374;9875;0;15;1404;1467;
9000;390;9890;0;0;1373;1451;
9000;374;9797;0;15;1373;1435;
9000;390;10203;0;0;1358;1498;
10000;390;11653;0;0;1513;1731;
10000;405;12059;0;15;1529;1607;
10000;405;11575;0;16;1528;1638;
10000;437;11450;0;16;1529;1669;
10000;421;11654;0;15;1560;1638;
10000;406;12527;0;0;1544;1685;
10000;422;12277;0;0;1544;1732;
10000;422;11450;0;16;1513;1669;
10000;421;12090;0;0;1529;1669;
10000;421;11591;0;16;1544;1638;
20000;702;37051;0;31;3744;3322;
20000;717;37035;0;31;3713;3448;
20000;702;39095;0;15;3791;3463;
20000;717;37020;0;15;3697;3511;
20000;702;37487;0;16;3791;3370;
20000;717;38954;0;15;3806;3354;
20000;717;37596;0;31;3776;3354;
20000;733;38938;0;16;3744;3339;
20000;702;37176;0;31;3681;3370;
20000;702;38221;0;15;3697;3292;
30000;1061;81652;0;47;6692;4977;
30000;1029;84631;0;31;6708;5133;
30000;1030;81667;0;31;6661;4852;
30000;1045;85926;0;47;6646;4976;
30000;1014;80622;0;47;6630;4852;
30000;1029;80170;0;47;6692;4992;
30000;1014;80715;0;31;6755;5101;
30000;1029;93757;0;47;6833;4929;
30000;1014;80559;0;47;6630;4977;
30000;1014;80497;0;46;6568;5024;
40000;1333;147662;0;48;10479;6858;
40000;1329;141271;0;47;10187;7020;
40000;1311;142711;0;47;10171;6755;
40000;1357;146455;0;46;10343;6614;
40000;1342;145456;0;47;10249;6692;
40000;1326;144411;0;47;10124;6896;
40000;1326;146564;0;46;10343;6802;
40000;1342;147032;0;47;10202;7067;
40000;1310;149637;0;47;10265;7269;
40000;1295;145284;0;47;10140;6973;
50000;1779;226765;0;63;14212;8627;
50000;1654;225251;0;78;14134;9392;
50000;1685;228028;0;78;14399;8408;
50000;1654;224081;0;62;14165;8330;
50000;1669;231039;0;78;14118;8409;
100000;3978;916168;0;265;51652;18050;
100000;3900;911613;0;281;51746;17487;
100000;3963;912565;0;281;50404;17597;
100000;3931;917182;0;265;50623;17160;
100000;3947;932517;0;281;51106;16911;
150000;5851;2137430;0;609;173849;28002;
150000;5944;2199862;0;593;180276;26427;
150000;6006;2162469;0;608;175643;25599;
150000;6053;2192487;0;608;170932;25958;
150000;6053;2290110;0;608;170916;25803;
200000;7909;4290585;0;1061;558643;95426;
200000;8205;4100434;0;1045;566271;99030;
200000;8049;4310163;0;1061;562933;99373;
200000;8190;4170042;0;1061;623914;106783;
