___;Parse; TGG_FWD; Precedence; SDM Validation; TGG_BWD; Unparse;
1000;110;889;1186;0;94;452;
1000;109;920;1201;0;93;577;
1000;109;905;1201;0;109;406;
1000;93;889;1185;16;94;421;
1000;94;904;1202;15;94;421;
1000;93;905;1201;0;109;422;
1000;109;889;1216;0;110;421;
1000;109;889;1170;0;94;437;
1000;109;905;1186;0;109;437;
1000;93;889;1185;16;93;436;
2000;156;1513;1482;16;187;671;
2000;140;1544;1498;0;156;640;
2000;156;1513;1529;0;187;608;
2000;156;1513;1497;0;140;686;
2000;141;1529;1513;0;156;578;
2000;156;1529;1514;0;156;624;
2000;156;1513;1529;0;250;608;
2000;156;1514;1498;0;156;577;
2000;156;1545;1483;0;172;562;
2000;156;1529;1513;0;156;562;
3000;187;2012;2043;0;234;765;
3000;187;2012;2138;0;203;749;
3000;187;2012;2106;0;187;718;
3000;203;2090;2074;0;234;827;
3000;187;2028;2121;0;250;733;
3000;202;1950;2074;0;218;749;
3000;187;2028;2106;0;187;733;
3000;187;2028;2153;0;234;842;
3000;187;2028;2106;0;203;717;
3000;187;2043;2138;15;203;702;
4000;219;2527;2512;16;249;967;
4000;218;2543;2558;0;250;889;
4000;219;2512;2528;0;250;1014;
4000;234;2527;2528;0;265;951;
4000;218;2527;2527;0;249;998;
4000;234;2543;2543;0;250;936;
4000;218;2542;2543;0;250;1045;
4000;218;2496;2558;0;249;936;
4000;234;2527;2496;0;249;920;
4000;218;2527;2480;16;265;1108;
5000;265;3042;3120;0;312;1045;
5000;265;3026;3089;0;312;1124;
5000;250;3073;3152;0;297;1014;
5000;265;3057;3120;0;312;1030;
5000;266;2995;3089;0;312;1123;
5000;265;3026;3089;0;312;1014;
5000;250;3042;3120;0;312;1046;
5000;265;3058;3104;16;312;1217;
5000;250;3167;3151;16;312;1014;
5000;265;2995;3026;0;312;1061;
6000;297;3557;3775;0;312;1232;
6000;297;3573;3744;0;312;1248;
6000;296;3572;3791;0;312;1217;
6000;296;3572;3712;16;328;1155;
6000;297;3557;3713;0;328;1310;
6000;296;3572;3760;0;312;1248;
6000;297;3573;3744;16;328;1248;
6000;296;3541;3713;0;327;1264;
6000;280;3697;3760;0;328;1186;
6000;296;3541;3713;0;312;1202;
7000;328;4337;4212;16;390;1404;
7000;343;4243;4228;0;390;1419;
7000;327;4243;4134;15;390;1357;
7000;344;4290;4244;0;390;1419;
7000;343;4415;4290;0;390;1373;
7000;343;4228;4165;0;375;1497;
7000;343;4290;4212;0;405;1389;
7000;327;4259;4165;0;390;1372;
7000;327;4274;4212;0;390;1451;
