___;Precedence; Moca_Compare; TGG_FWD;
1000;1156;158;94;
1000;1163;160;92;
1000;1269;165;93;
1000;1155;157;93;
1000;1131;159;93;
1000;1165;161;93;
1000;1130;156;112;
1000;1186;159;92;
1000;1184;161;92;
1000;1226;163;93;
2000;1705;248;196;
2000;1689;267;170;
2000;1707;269;176;
2000;1705;269;171;
2000;1675;247;168;
2000;1691;243;172;
2000;1687;266;199;
2000;1687;246;178;
2000;1701;252;175;
2000;1683;247;174;
3000;2243;425;285;
3000;2233;420;283;
3000;2203;422;284;
3000;2253;429;290;
3000;2235;420;292;
3000;2232;424;282;
3000;2266;430;284;
3000;2232;422;289;
3000;2152;418;291;
3000;2306;430;289;
4000;2864;665;363;
4000;2890;655;363;
4000;2884;676;372;
4000;2839;660;368;
4000;2812;661;355;
4000;2866;661;371;
4000;2931;661;376;
4000;2865;658;370;
4000;2887;664;371;
4000;2826;657;366;
5000;3320;947;407;
5000;3239;953;446;
5000;3289;948;409;
5000;3193;946;442;
5000;3326;949;413;
5000;3294;969;444;
5000;3336;955;414;
5000;3298;946;443;
5000;3225;949;449;
5000;3303;963;407;
6000;3996;1334;512;
6000;3888;1308;496;
6000;3947;1295;499;
6000;3838;1294;484;
6000;3900;1295;499;
6000;3947;1326;484;
6000;3900;1310;483;
6000;3838;1294;499;
6000;3807;1311;499;
6000;3884;1295;499;
7000;4305;1732;749;
7000;4462;1732;515;
7000;4337;1747;749;
7000;4399;1748;749;
7000;4290;1747;734;
7000;4414;1732;546;
7000;4290;1731;734;
7000;4446;1732;515;
7000;4509;1748;531;
7000;4493;1731;530;
8000;4977;2231;687;
8000;4929;2215;655;
8000;4914;2231;686;
8000;4868;2278;670;
8000;4976;2231;670;
8000;4867;2230;702;
8000;4945;2231;702;
8000;4883;2230;687;
8000;4899;2262;687;
8000;4961;2263;686;
9000;5429;2839;749;
9000;5366;2792;733;
9000;5398;2840;734;
9000;5351;2808;749;
9000;5460;2839;749;
9000;5366;2792;734;
9000;5382;2823;734;
9000;5351;2824;717;
9000;5320;2808;748;
9000;5522;2964;734;
10000;5897;3511;842;
10000;5804;3495;842;
10000;5788;3479;843;
10000;5803;3463;842;
10000;5772;3494;827;
10000;5881;3510;858;
10000;5897;3479;843;
10000;5912;3495;842;
10000;5928;3510;826;
10000;5866;3479;827;
20000;10998;18206;2325;
20000;10764;16926;2324;
20000;11014;16833;2325;
20000;10857;16927;2309;
20000;10905;16771;2356;
20000;10796;16630;2325;
20000;10827;17083;2340;
20000;10999;17644;2324;
20000;10858;17176;2434;
20000;10639;16864;2262;
30000;18798;47066;3323;
30000;18642;47034;3276;
30000;18377;47971;3338;
30000;18548;47409;3323;
30000;18642;47222;3322;
30000;18643;47455;3307;
30000;18595;47175;3369;
30000;18377;47190;3307;
30000;17691;47190;3291;
30000;18736;47612;3369;
40000;26582;87767;6178;
40000;26661;86987;6131;
40000;26832;87393;6209;
40000;26863;87985;6302;
40000;26317;87081;6162;
40000;26068;88610;6099;
40000;26348;89202;6240;
40000;26318;87111;6037;
40000;26239;86612;6131;
40000;26505;88220;6084;
50000;37238;165503;8674;
50000;36864;165893;8580;
50000;37378;167671;8783;
50000;36769;166907;8861;
50000;37144;170776;8611;
100000;104600;684147;34087;
100000;105114;688312;33151;
100000;105504;684911;34461;
100000;104552;684989;33369;
100000;104053;683413;34586;
150000;212334;1595089;79046;
150000;212397;1585011;76706;
150000;212990;1598287;81839;
150000;213723;1589364;80326;
150000;212833;1599301;80590;
200000;381659;2957705;365684;
200000;375075;2868284;362938;
200000;382657;2967935;362314;
200000;375762;2964460;360817;
200000;375435;2989076;365060;
