___;Parse; TGG_FWD; Precedence; SDM Validation; TGG_BWD; Unparse;
1000;109;3354;0;0;218;281;
1000;125;3307;0;0;219;265;
1000;109;3339;0;0;219;281;
1000;125;3354;0;0;219;265;
1000;125;3401;0;0;219;265;
1000;125;3416;0;0;234;265;
1000;125;3339;0;0;219;281;
1000;124;3307;0;0;203;281;
1000;125;3510;0;0;219;265;
1000;109;3245;0;0;218;281;
2000;140;10436;0;0;359;406;
2000;140;9812;0;0;359;483;
2000;156;10343;0;0;359;421;
2000;140;9953;0;0;343;406;
2000;141;10000;0;0;343;422;
2000;156;10156;0;0;359;390;
2000;140;10312;0;0;359;421;
2000;140;10093;0;0;359;421;
2000;156;10171;0;0;359;405;
2000;156;10093;0;0;359;421;
3000;187;21872;0;0;499;609;
3000;187;21949;0;0;515;718;
3000;172;22152;0;0;499;561;
3000;188;21996;0;0;515;546;
3000;187;22386;0;0;515;577;
3000;187;22449;0;0;483;577;
3000;187;22199;0;0;500;577;
3000;171;21965;0;15;515;561;
3000;187;21872;0;0;515;577;
3000;187;22027;0;0;515;546;
4000;219;40856;0;0;577;717;
4000;218;40435;0;0;577;718;
4000;234;40623;0;0;578;811;
4000;218;42917;0;16;593;702;
4000;218;41154;0;0;577;765;
4000;234;41122;0;0;578;717;
4000;218;40483;0;0;577;858;
4000;219;40639;0;16;577;717;
4000;218;40123;0;0;577;796;
4000;218;40186;0;15;577;718;
5000;249;69592;0;0;749;921;
5000;249;67159;0;0;749;998;
5000;265;69171;0;0;733;967;
5000;250;68406;0;0;764;905;
5000;250;68484;0;0;734;998;
5000;249;68781;0;16;733;951;
5000;266;69031;0;0;733;889;
5000;250;68220;0;0;718;983;
5000;266;67487;0;0;718;858;
5000;250;69047;0;0;733;1014;
6000;297;107656;0;0;890;1202;
6000;281;104053;0;0;858;1170;
6000;296;106612;0;0;874;1030;
6000;297;106814;0;16;920;1436;
6000;296;102415;0;0;858;1092;
6000;280;104117;0;0;858;1139;
6000;281;104303;0;16;874;1077;
6000;296;103789;0;0;858;1154;
6000;297;104427;0;0;873;1170;
6000;281;105894;0;0;889;1186;
7000;328;155558;0;5;1050;1226;
7000;340;153792;0;5;1097;1315;
7000;336;151718;0;0;1139;1263;
7000;327;154827;0;0;1108;1529;
7000;328;163703;0;5;1042;1271;
7000;334;153301;0;0;1092;1280;
7000;328;153334;0;0;1092;1279;
7000;328;153803;0;0;1092;1451;
7000;328;156083;0;16;1107;1248;
7000;327;151806;0;0;999;1358;
8000;374;220246;0;16;1341;1389;
8000;374;220031;0;0;1326;1357;
8000;359;221358;0;16;1310;1388;
8000;358;219967;0;0;1358;1435;
8000;390;218030;0;0;1326;1357;
8000;359;216113;0;0;1404;1560;
8000;359;213645;0;0;1295;1451;
8000;359;218869;0;0;1310;1529;
8000;358;215000;0;0;1295;1357;
8000;374;221172;0;0;1358;1357;
9000;375;297090;0;0;1404;1669;
9000;406;290556;0;16;1404;1622;
9000;390;287466;0;0;1419;1498;
9000;390;287779;0;16;1404;1545;
9000;405;292121;0;16;1482;1575;
9000;390;289454;0;0;1466;1638;
9000;390;293569;0;0;1404;1467;
9000;406;291247;0;16;1404;1576;
9000;390;293893;0;16;1388;2152;
9000;405;294876;0;16;1419;1716;
10000;406;378727;0;15;1607;2168;
10000;390;384281;0;0;1654;1873;
10000;421;379260;0;16;1576;1856;
10000;437;376464;0;0;1591;1731;
10000;437;376403;0;0;1670;1841;
10000;453;382911;0;15;1576;1856;
10000;437;370348;0;0;1560;1841;
10000;421;371769;0;16;1545;1747;
10000;437;373796;0;16;1591;1857;
10000;436;378103;0;16;1607;1934;
20000;687;2336866;0;31;4025;3525;
20000;780;2324989;0;15;11996;3510;
20000;921;2316957;0;16;3806;17269;
20000;780;2334149;0;16;3916;3354;
20000;796;2300936;0;16;3791;3385;
20000;795;2325475;0;16;3838;3417;
20000;905;2303307;0;16;11435;3494;
20000;795;2335412;0;31;3979;3369;
20000;764;2306630;0;31;3822;3463;
20000;764;2315117;0;31;3931;3432;
